id,year,month,rate
1,2021,December,3.9
2,2021,November,4.2
3,2021,October,4.6
4,2021,September,4.7
5,2021,August,5.2
6,2021,July,5.4
7,2021,June,5.9
8,2021,May,5.8
9,2021,April,6.0
10,2021,March,6.0
11,2021,February,6.2
12,2021,January,6.4
13,2020,December,6.7
14,2020,November,6.7
15,2020,October,6.9
16,2020,September,7.9
17,2020,August,8.4
18,2020,July,10.2
19,2020,June,11.0
20,2020,May,13.2
21,2020,April,14.7
22,2020,March,4.4
23,2020,February,3.5
24,2020,January,3.5
25,2019,December,3.6
26,2019,November,3.6
27,2019,October,3.6
28,2019,September,3.5
29,2019,August,3.7
30,2019,July,3.7
31,2019,June,3.6
32,2019,May,3.6
33,2019,April,3.6
34,2019,March,3.8
35,2019,February,3.8
36,2019,January,4.0
37,2018,December,3.9
38,2018,November,3.8
39,2018,October,3.8
40,2018,September,3.7
41,2018,August,3.8
42,2018,July,3.8
43,2018,June,4.0
44,2018,May,3.8
45,2018,April,4.0
46,2018,March,4.0
47,2018,February,4.1
48,2018,January,4.0
49,2017,December,4.1
50,2017,November,4.2
51,2017,October,4.2
52,2017,September,4.3
53,2017,August,4.4
54,2017,July,4.3
55,2017,June,4.3
56,2017,May,4.4
57,2017,April,4.4
58,2017,March,4.4
59,2017,February,4.6
60,2017,January,4.7
61,2016,December,4.7
62,2016,November,4.7
63,2016,October,4.9
64,2016,September,5.0
65,2016,August,4.9
66,2016,July,4.8
67,2016,June,4.9
68,2016,May,4.8
69,2016,April,5.1
70,2016,March,5.0
71,2016,February,4.9
72,2016,January,4.8
73,2015,December,5.0
74,2015,November,5.1
75,2015,October,5.0
76,2015,September,5.0
77,2015,August,5.1
78,2015,July,5.2
79,2015,June,5.3
80,2015,May,5.6
81,2015,April,5.4
82,2015,March,5.4
83,2015,February,5.5
84,2015,January,5.7
85,2014,December,5.6
86,2014,November,5.8
87,2014,October,5.7
88,2014,September,5.9
89,2014,August,6.1
90,2014,July,6.2
91,2014,June,6.1
92,2014,May,6.3
93,2014,April,6.2
94,2014,March,6.7
95,2014,February,6.7
96,2014,January,6.6
97,2013,December,6.7
98,2013,November,6.9
99,2013,October,7.2
100,2013,September,7.2
101,2013,August,7.2
102,2013,July,7.3
103,2013,June,7.5
104,2013,May,7.5
105,2013,April,7.6
106,2013,March,7.5
107,2013,February,7.7
108,2013,January,8.0
109,2012,December,7.9
110,2012,November,7.7
111,2012,October,7.8
112,2012,September,7.8
113,2012,August,8.1
114,2012,July,8.2
115,2012,June,8.2
116,2012,May,8.2
117,2012,April,8.2
118,2012,March,8.2
119,2012,February,8.3
120,2012,January,8.3
